frame,timestamp_s,track_id,class,gate,direction,speed,violation
3,0.300,4,car,inbound,in,29.1,0
5,0.500,3,car,inbound,in,45.0,0
26,2.600,5,car,inbound,in,29.3,0
32,3.200,7,car,inbound,in,39.6,0
46,4.600,6,car,inbound,in,31.4,0
56,5.600,11,car,inbound,in,41.7,0
66,6.600,9,car,inbound,in,34.0,0
72,7.200,41,car,outbound,out,91.4,1
87,8.700,10,car,inbound,in,32.5,0
95,9.500,54,car,outbound,out,86.3,1
106,10.600,63,car,outbound,out,86.7,1
108,10.800,27,car,inbound,in,33.2,0
123,12.300,72,car,outbound,out,102.9,1
138,13.800,24,car,inbound,in,33.3,0
139,13.900,15,truck,inbound,in,40.2,0
158,15.800,25,car,inbound,in,31.3,0
166,16.600,83,car,outbound,out,93.1,1
177,17.700,17,truck,inbound,in,39.2,0
200,20.000,32,car,inbound,in,35.8,0
217,21.700,42,truck,inbound,in,41.1,0
224,22.400,79,car,inbound,in,35.6,0
225,22.500,127,car,inbound,out,104.7,1
243,24.300,70,car,inbound,in,28.7,0
243,24.300,116,truck,outbound,out,58.2,0
